Date,Imp Vol,1D IV Chg,IV Rank,IV Pctl,P/C Vol,Options Vol,P/C OI,Total OI,Last,Call Volume,Put Volume,Call OI,Put OI,WBD,PSKY,NFLX,VIX,WBD_Log_Ret,Realized_Vol,VRP,Arb_Spread,Implied_Deal_Prob,NFLX_Ret,PSKY_Ret,PSKY_NFLX_Beta,NFLX_Log_Ret,PSKY_Log_Ret,Pair_Spread,Spread_ZScore
2025-10-30,53.17,-3.79%,38.27%,67%,0.25198389656641,64685,0.59661380282249,1769658,21.62,51666,13019,1108382,661276,21.6200008392334,15.460000038146973,108.9000015258789,16.90999984741211,0.013035598004587274,48.8525773334791,4.317422666520905,9.379999160766602,51.196675179772825,-0.010368851941865653,-0.026448367334204637,-0.17403309478595974,-0.010422982996880532,-0.026804417398857992,-0.015087838710738414,-0.3967510635880784
2025-10-31,50.18,-2.99%,32.17%,60%,0.39168933212451,184204,0.6006590304259,1770116,22.45,132360,51844,1105867,664249,22.450000762939453,15.390000343322754,111.88600158691406,17.440000534057617,0.03767179714368533,49.56337792882361,0.616622071176387,8.549999237060547,55.51509303708101,0.02741965123228729,-0.0045277939619338126,-0.15397832059126645,0.027050466016529426,-0.004538075467779778,0.02635170077728427,1.027652268087115
2025-11-03,62.48,+12.30%,57.30%,80%,0.60756152252278,56636,0.60172222247832,1737300,22.29,35231,21405,1084645,652655,22.290000915527344,15.420000076293944,110.00900268554688,17.170000076293945,-0.007152459700969633,49.85766733710389,12.622332662896106,8.709999084472656,54.682627661486904,-0.01677599408992303,0.001949300344506133,-0.12759511156898115,-0.01691830492781363,0.001947402923951155,-0.01666982583446232,-0.45187788828283443
2025-11-04,49.5,-12.98%,30.77%,58%,0.6275379377023,77435,0.60063744236716,1758726,22.6,47578,29857,1098766,659960,22.600000381469727,14.84000015258789,109.2959976196289,19.0,0.013811734686198366,48.30854722259032,1.1914527774096797,8.399999618530273,56.29552808622923,-0.0064813337864360054,-0.03761348384152863,-0.17528902234989285,-0.00650242882900469,-0.03833912506147274,-0.013222856578780522,-0.2756044826860834
2025-11-05,45.74,-3.77%,23.08%,42%,0.69452013774517,113177,0.60816723211135,1813572,22.76,66790,46387,1127726,685846,22.76000022888184,15.09000015258789,109.84600067138672,18.010000228881836,0.007054696157018562,44.79532710629659,0.9446728937034123,8.23999977111816,57.127993461823344,0.0050322341507136326,0.016846361012766042,-0.07173703997503311,0.005019614778490941,0.0167060348701751,0.00621805626979699,0.456899705143332
2025-11-06,43.84,-1.89%,19.21%,35%,0.58227756461305,87424,0.63058280408171,1858566,22.42,55252,32172,1139817,718749,22.420000076293945,14.800000190734863,109.7020034790039,19.5,-0.015051198267494726,44.99848605780643,-1.158486057806428,8.579999923706055,55.359002057743346,-0.0013109006381906152,-0.019218022459946305,-0.06301473259908236,-0.0013117606200815858,-0.019405089234052326,-0.002534567129226725,0.1601980731852825
2025-11-07,47.26,+3.42%,26.19%,50%,0.93599390975903,66120,0.62945520008016,1886316,22.67,34153,31967,1157636,728680,22.670000076293945,15.100000381469728,110.36599731445312,19.07999992370605,0.011089046837896787,41.80005185803134,5.45994814196866,8.329999923706055,56.659730447580394,0.006052704730924008,0.02027028289652799,-0.02138436339142283,0.00603446069381144,0.020067575426214106,0.00646359301911039,0.45867858773611914
2025-11-10,40.98,-6.28%,13.36%,15%,0.46255526687634,32087,0.62640313643586,1806633,22.98,21939,10148,1110815,695818,22.979999542236328,15.25,112.00700378417967,17.600000381469727,0.013581784615667173,40.752663872029075,0.22733612797092206,8.020000457763672,58.27263087232271,0.014868768548804256,0.009933749320585994,-0.004697813083626209,0.01475931206466686,0.009884733969646486,0.014805748697237631,0.7265037117938749
2025-11-11,57.89,+16.91%,47.91%,76%,0.92777361171409,48844,0.62601321804766,1816434,23.05,25337,23507,1117109,699325,23.049999237060547,16.739999771118164,113.6439971923828,17.280000686645508,0.003041483842812293,40.89845794844098,16.991542051559023,7.950000762939453,58.63683323367387,0.014615098635772483,0.09770490302414192,0.038033887600175495,0.014509327407528673,0.0932215483351585,0.010963749516234928,0.555876832549626
2025-11-12,110.42,+52.53%,100.00%,100%,1.1524398501332,95366,0.63744179433406,1842646,22.19,44306,51060,1125320,717326,22.190000534057617,15.56999969482422,115.75,17.510000228881836,-0.038023975331338555,44.26516595279868,66.15483404720132,8.809999465942383,54.16233432079808,0.018531579842726353,-0.06989247863148518,0.12744178452246496,0.018361962431557605,-0.07245508514291506,0.027595767779897837,1.054041726339744
